date,iaq,electrosmog_lf,wifi_level,wifi_n,temperature,humidity,air_pressure,ambient_light,tvoc,co2,co2e,pm10,pm25,sound,electrosmog_hf,device_id,ext_temperature,ext_humidity,ext_wind,ext_pressure,ext_weather
2020-05-04,63.77310345,174.2137931,-36.34482759,20.9137931,26.00586207,29.92724138,1016.452069,204.9889655,56.79655172,405.3827586,776.0689655,8.982758621,7.982758621,43.37275862,1.188275862,219,19,46,10,1018,sole
2020-05-05,75.73125,174.65625,-36.60416667,20.06597222,25.98680556,32.81215278,1015.975,206.0590278,86.60416667,430.4791667,971.9305556,9.916666667,8.916666667,44.32673611,1.232986111,219,20,46,11,1017,sole
2020-05-06,118.7891986,172.7839721,-36.17073171,18.8641115,26.75644599,40.10452962,1011.537631,205.458885,123.7526132,426.2439024,1215.623693,10.01045296,9.010452962,43.3902439,1.221254355,219,21,60,11,1012,sole
2020-05-07,59.65813149,174.3564014,-37.0449827,19.07958478,26.68200692,31.52318339,1016.801038,206.8878893,34.71972318,415.799308,631.5017301,9.487889273,8.487889273,43.74048443,1.225259516,219,19,49,12,1018,sole
2020-05-08,81.6555102,171.6244898,-36.55918367,20.64489796,26.68897959,35.07591837,1019.594694,205.6685714,123.3836735,427.0571429,1213.257143,9.673469388,8.673469388,43.09795918,1.202857143,219,20,48,10,1021,sole
2020-05-09,73.68184932,171.0479452,-36.81506849,20.5239726,26.80205479,33.25650685,1016.016096,200.4178082,135.640411,426.2157534,1293.424658,9.910958904,8.910958904,43.34315068,1.226369863,219,20,47,9,1017,sole
2020-05-10,56.71072664,171.1557093,-36.52595156,19.84429066,27.23183391,32.86989619,1010.481661,205.5384083,36.68512111,422.9965398,643.83391,11.11764706,10.11764706,42.36574394,1.310380623,219,21,44,12,1012,sole
2020-05-11,94.18708134,177.1339713,-36.55502392,19.52631579,26.96555024,33.82727273,1007.020096,200.3569378,15.22966507,423.6411483,503.062201,10.48325359,9.483253589,43.67607656,1.309569378,219,19,62,11,1009,pioggia temporale 
2020-05-13,43.87735849,173.9559748,-36.71069182,16.14465409,27.68427673,37.03710692,1008.819497,197.4742138,16.2327044,419.3396226,496.7861635,11.49685535,10.49685535,43.82955975,1.275471698,219,23,49,23,1010,sole
2020-05-14,101.2729167,175.0590278,-36.62847222,15.94444444,27.79861111,41.16631944,1005.377778,194.8017361,80.28125,433.2152778,930.2083333,13.74305556,12.74305556,43.40659722,1.263194444,219,24,47,17,1007,sole
2020-05-15,74.25847751,174.2595156,-36.06228374,17.98269896,27.31176471,39.32560554,1012.841869,197.8726644,30.26989619,420.6228374,601.9653979,10.8615917,9.861591696,43.43910035,1.501730104,219,21,56,10,1014,sole
2020-05-16,106.3310345,174.2862069,-35.31724138,19.01724138,27.04724138,37.33482759,1012.936897,184.6624138,40.9862069,417.6517241,672.237931,11.53103448,10.53103448,43.01034483,1.462068966,219,25,43,17,1014,sole
2020-05-17,133.2591696,173.9480969,-35.22491349,18.8650519,27.84982699,44.01280277,1012.529758,191.8657439,90.19031142,422.816609,995.0692042,14.28373702,13.28373702,42.04394464,1.464705882,219,25,53,15,1015,sole
2020-05-18,115.2771084,172.1204819,-35.3935743,18.06024096,28.10522088,43.77751004,1011.471486,198.9148594,105.0763052,448.0281124,1093.48996,15.52208835,14.4939759,44.03453815,1.486345382,219,25,50,11,1012,sole
2020-05-19,48.51666667,177.5104167,-36.40972222,17.64583333,27.07638889,45.20416667,1010.179514,203.5041667,19.15972222,420.28125,528.8298611,11.46180556,10.46180556,44.49097222,1.493402778,219,21,64,17,1011,sole
2020-05-20,106.6370242,175.0449827,-35.97231834,17.17301038,26.1532872,45.03425606,1006.922837,194.8622837,40.5916955,429.5155709,669.6816609,10.85813149,9.858131488,44.74948097,1.462283737,219,19,72,10,1008,pioggia temporale 
2020-05-21,124.6558621,171.337931,-36.40344828,17.90689655,26.05068966,36.36482759,1011.587241,200.6010345,17.25517241,412.0793103,516.5241379,10.17586207,9.175862069,44.56413793,1.456896552,219,23,42,15,1014,sole
2020-05-22,77.20553633,172.0276817,-36.09688581,18.61591696,26.74948097,30.47854671,1020.797924,201.4851211,21.16262976,409.2145329,542.2491349,9.37716263,8.37716263,45.12491349,1.467820069,219,23,41,13,1023,sole
2020-05-23,78.05486111,169.9791667,-36.625,18.21180556,27.39618056,38.36493056,1023.827083,201.3927083,97.05208333,431.9895833,1039.909722,10.25347222,9.253472222,43.27986111,1.410069444,219,24,44,11,1025,sole
2020-05-24,100.5689895,171.3066202,-35.91986063,18.56097561,27.99651568,38.37770035,1021.588153,201.1689895,68.64808362,426.4425087,853.804878,10.29268293,9.292682927,42.43937282,1.441463415,219,22,52,13,1023,sole
2020-05-25,88.57404844,175.0242215,-36.43252595,18.04844291,27.46470588,41.52076125,1021.43391,202.0588235,103.8096886,433.7128028,1084.546713,10.23183391,9.23183391,45.70346021,1.489273356,219,22,59,10,1023,sole
2020-05-26,113.2010309,174.9965636,-35.37800687,17.68728522,26.40893471,33.3742268,1021.529897,197.8697595,21.34364261,424.7457045,543.467354,10.20618557,9.202749141,45.75154639,1.513058419,219,21,45,11,1023,sole
2020-05-27,145.4559028,174.1770833,-37.93055556,16.96875,25.84097222,27.1125,1023.547569,199.7618056,52.47222222,414.0277778,747.5555556,9.100694444,8.100694444,46.58506944,1.505208333,219,19,38,13,1025,sole
2020-05-28,138.1173611,175.2847222,-37.61458333,16.16666667,25.69791667,31.08055556,1021.53125,200.525,45.71527778,417.2048611,703.4166667,9.517361111,8.517361111,46.51145833,1.490277778,219,19,48,10,1023,sole
2020-05-29,212.8871528,173.9236111,-37.14236111,17.9375,25.00277778,43.68993056,1017.172917,186.5996528,231.8472222,445.3194444,1925.295139,11.42361111,10.42361111,47.384375,1.454513889,219,17,74,11,1018,pioggia temporale 
2020-05-30,97.77477064,177.9174312,-36.7706422,19.65137615,23.39816514,46.76284404,1013.989908,189.4229358,186.2844037,436.2247706,1625.738532,9.972477064,8.972477064,48.29541284,1.490366972,219,16,72,7,1015,sole
2020-05-31,76.96482759,177.7517241,-38.62068966,18.03103448,23.67586207,45.24862069,1013.520345,199.79,79.12758621,438.0206897,922.6551724,10.20689655,9.206896552,47.53551724,1.63,219,18,61,11,1015,sole
2020-06-01,92.06055363,174.8719723,-35.66089965,18.17647059,25.52456747,40.41937716,1013.745675,208.3522491,40.10726644,447.1141869,666.6401384,10.87889273,9.878892734,49.27093426,1.602076125,219,20,59,10,1015,sole
2020-06-02,54.17889273,173.1349481,-34.05190311,19.38408304,26.11314879,41.17474048,1012.749481,197.3733564,28.91695502,423.0968858,592.9273356,9.84083045,8.84083045,47.58442907,1.555017301,219,20,59,10,1014,sole
2020-06-03,107.6702422,178.366782,-34.06228374,17.25259516,26.59411765,41.77716263,1009.60692,213.5086505,60.82698962,444.3598616,802.5951557,10.31487889,9.314878893,49.57508651,1.574394464,219,21,62,10,1011,pioggia 
2020-06-04,86.01937716,174.7197232,-34.22491349,17.61937716,26.48062284,44.47750865,1005.161938,207.5449827,84.05190311,432.3356401,955.3252595,9.764705882,8.764705882,49.44913495,1.575778547,219,21,62,25,1006,pioggia 
2020-06-05,155.5010381,174.9238754,-34.79584775,17.60207612,25.83252595,50.07474048,1000.620761,209.5131488,143.1072664,431.7889273,1342.83737,11.55363322,10.55363322,48.84359862,1.551903114,219,20,78,17,1002,pioggia temporale 
2020-06-06,159.8387543,170.550173,-33.98615917,19.12110727,26.80865052,43.63875433,1006.456747,203.1467128,51.21453287,435.3564014,739.5397924,10.57785467,9.577854671,47.39065744,1.549480969,219,20,67,10,1008,sole
2020-06-07,88.11418685,168.5709343,-35.24913495,18.74394464,27.24878893,45.25294118,1008.40519,195.467474,40.48096886,422.4913495,668.7854671,10.10726644,9.107266436,46.40207612,1.529757785,219,21,65,17,1010,sole
2020-06-08,99.82738095,171.7321429,-36.17857143,16.32142857,27.34464286,45.17559524,1007.264286,219.2184524,42.97619048,422.9821429,685.6130952,9.773809524,8.773809524,48.94940476,1.514285714,219,21,68,20,1008,pioggia 
